All,全部
"An inactive store view cannot be saved as default store view",处于非活动状态店铺视图不能保存为默认店铺视图
"You saved the store.",你保存了店铺。
"Something went wrong while saving. Please review the error log.",保存时出错，请查看错误日志。
"Last 24 Hours","最近 24 小时"
"Last 7 Days","最近 7 天"
"Current Month",当月
"Authentication storage is incorrect.",验证存储不正确。
Order,订单
"Order #%1","订单 #%1"
"Sorry, you need permissions to view this content.",对不起，您需要权限来查看此内容的。
"Next steps",下一步
"If you think this is an error, try signing out and signing in again.",如果您认为这是一个错误，请尝试注销并再次登录。
"Contact a system administrator or store owner to gain permissions.",请与系统管理员或店铺所有人联系以获取权限。
"Return to ","返回至 "
"previous page",上一页
.,。
"Welcome, please sign in",欢迎，请登录
Username,用户名
"user name",用户名
Password,密码
password,密码
"Sign in",登录
"Select Range:",选择范围：
"No Data Found",找不到数据
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","图表被禁用，若要启用图表，请单击 <a href=""%1""> 这里</a>。"
"Last Orders",近期订单
"Last Search Terms",近期搜索条件
"Top Search Terms",热门搜索词
"There are no search keywords.",没有搜索关键字。
"View Statistics For:",查看统计信息为:
"All Websites",所有网站
"Reload Data",重新加载数据
"Browse Files...",浏览文件。。。
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","版权所有 %1 Magento 商务公司保留所有权利。"
"ver. %1","%1 版"
"Magento Admin Panel","Magento 管理面板"
"Account Setting",帐户设置
"Customer View",客户视图
"Sign Out",退出
"About the calendar",关于日历
"Go Today",今天去
Previous,前一页
Next,下一页
WK,周
Time,时间
Hour,小时
Minute,分钟
"JavaScript may be disabled in your browser.","可能您的浏览器中禁用了 JavaScript。"
"To use this website you must first enable JavaScript in your browser.","您的浏览器必须先启用 JavaScript，然后才能流畅浏览本网站。"
"This is only a demo store. You can browse and place orders, but nothing will be processed.",这是只是一个演示的商店。您可以浏览并下订单，但什么都不会被处理。
"Report an Issue",问题反馈
"Stores Configuration",店铺配置
"Please confirm scope switching. All data that hasn't been saved will be lost.",请确认范围开关。尚未保存的所有数据将都会丢失。
"Additional Cache Management",额外的缓存管理
"Flush Catalog Images Cache",刷新目录图片缓存
"Pregenerated product images files",预先产生产品图片文件
"Flush JavaScript/CSS Cache","刷新 JavaScript 和 CSS 缓存"
"Themes JavaScript and CSS files combined to one file","主题的 JavaScript 和 CSS 文件合并到一个文件"
"Flush Static Files Cache",刷新静态文件缓存
"Preprocessed view files and static files",预处理的视图文件和静态文件
Catalog,目录
JavaScript/CSS,"JavaScript 和 CSS"
"JavaScript/CSS Cache","JavaScript 和 CSS 缓存"
"No records found.",找不到记录。
Images,图片
"Big Image",大图
Thumbnail,缩略图
"Additional Settings",附加设置
"records found",找到的记录
selected,已选择
"per page",每页
"Previous page",上一页
"of %1",%1
"Next page",下页
"Export to:",导出到：
"Mass Actions",批量操作
"Unselect All",取消全选
"Select Visible",选择可见
"Unselect Visible",取消选择可见
"Changes have been made to this section that have not been saved.",针对此部分的更改操作尚未保存。
"This tab contains invalid data. Please resolve this before saving.",此选项卡包含无效数据，请在保存前解决此问题。
"The information in this tab has been changed.",此选项卡中的信息已更改。
Loading...,正在加载...
"We could not detect a size.",我们未能检测到的大小。
"Warning message",警告消息
"This operation can take a long time",此操作可能需要很长时间
"Allow everything",允许所有
"Magento Admin","Magento 管理员"
"Global Search",全局搜索
Marketing,市场营销
"SEO & Search",搜索引擎优化与搜索
"User Content",用户内容
Content,内容
Elements,元素
Design,设计
Schedule,计划任务
"Content translation",内容翻译
Settings,设置
Attributes,属性管理
"Other Settings",其他设置
"Data Transfer",数据传输
"Magento Connect","Magento 连接"
"Connect Manager",连接管理器
"Package Extensions",扩展包
Tools,工具
"Clean Cache Actions",清理缓存操作
"Cache Types Management",缓存类型管理
"Toggle Cache Type",切换缓存类型
"Refresh Cache Type",刷新缓存类型
"Catalog Images Cache",目录图像缓存
"Flush Js/Css","刷新 Js/Css"
"Flush Static Files",刷新静态文件
Currency,货币
Communications,通讯
Services,服务
Advanced,高级
"Disable Modules Output",禁用模块输出
"Store Email Addresses",店铺电子邮件地址
"Custom Email 1","自定义邮件 1"
"Sender Email",发件人的电子邮件
"Sender Name",发件人邮箱
"Custom Email 2","自定义电子邮件 2"
"General Contact",通用联系方式
"Sales Representative",销售代表
"Customer Support",客户支持
Developer,开发人员
"Template Settings",模板设置
"Allow Symlinks",允许符号链接
"Minify Html","最小化 Html"
"Minification is not applied in developer mode.",最小化不适用于开发人员模式。
"Translate Inline",内联翻译
"Enabled for Storefront",为前台启用
"Enabled for Admin",为管理员启用
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.",店铺前端和后台管理的内嵌翻译的翻译、页面块和其它输出的缓存应该被禁用。
"JavaScript Settings","JavaScript 设置"
"Merge JavaScript Files","合并 JavaScript 文件"
"Enable JavaScript Bundling","启用 JavaScript 绑定"
"Minify JavaScript Files","最小化 JavaScript 文件体积"
"CSS Settings","CSS 设置"
"Merge CSS Files","合并 CSS 文件"
"Minify CSS Files","最小化 CSS 文件体积"
"Image Processing Settings",图像处理设置
"Image Adapter",图像适配器
"Static Files Settings",静态文件设置
"Sign Static Files",静态文件签名
"Country Options",国家选项
"Allow Countries",允许的国家
"Default Country",默认国家
"European Union Countries",欧盟国家
"Top destinations",热门目的地
"Locale Options",区域选项
Timezone,时区
Locale,区域
"First Day of Week",每周的第一天
"Weekend Days",周末
"Store Name",店铺名称
"Store Phone Number",店铺电话号码
"Store Hours of Operation",商店营业时间
Country,国家
Region/State,地区/国家
"ZIP/Postal Code",邮编
City,城市
"Street Address",街道地址
"Street Address Line 2",街道地址行二
"VAT Number",增值税号码
"Single-Store Mode",单店铺模式
"Enable Single-Store Mode",启用单店铺模式
"This setting will not be taken into account if system has more than one store view.",如果系统具有多个店铺视图，则不会考虑此设置。
"Mail Sending Settings",邮件发送设置
"Disable Email Communications",禁用电子邮件通信
Host,主机
"Port (25)","端口 (25)"
"Set Return-Path",设置返回路径
"Return-Path Email",返回路径邮件
Admin,管理员
"Admin User Emails",管理员用户邮件
"Forgot Password Email Template",忘记密码的邮件模板
"Email template chosen based on theme fallback when ""Default"" option is selected.",电子邮件模板选择基于主题的回退时，选择“默认”选项。
"Forgot and Reset Email Sender",忘记了并重置电子邮件发件人
"Startup Page",起始页
"Admin Base URL","后台基础 URL"
"Use Custom Admin URL","使用自定义后台 URL"
"Custom Admin URL","自定义后台 URL"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","请确保，基 URL 以 '/' (斜线)，例如 http://yourdomain/magento/"
"Use Custom Admin Path",使用自定义后台路径
"Custom Admin Path",自定义后台路径
"You will have to sign in after you save your custom admin path.",保存您的自定义管理路径后你必须重新登录。
Security,安全
"Recovery Link Expiration Period (hours)","恢复链接到期时间 （小时）"
"Please enter a number 1 or greater in this field.","请在此字段中输入数量大于或等于 1。"
"Add Secret Key to URLs","将密钥添加到 URL"
"Login is Case Sensitive",登录名区分大小写
"Admin Session Lifetime (seconds)","后台会话有效期 (秒)"
"Please enter at least 60 and at most 31536000 (one year).","请输入至少 60 或最 大31536000 （一年）。"
"Enable Charts",启用图表
Web,网页
"Url Options","Url 选项"
"Add Store Code to Urls","将存储代码添加到 Urls"
"Auto-redirect to Base URL","自动重定向到基础 URL"
"Search Engine Optimization",搜索引擎优化
"Use Web Server Rewrites","使用 Web 服务器重写"
"Base URLs","基础 URL"
